epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,870.588,1.02338,0.88764,1.31839,0.63865,0.55888,0.56253,0.19733,2.39134,1.66052,2.46656,0.0006239,0.0006239,0.0006239
141,876.636,0.9983,0.85122,1.30441,0.53709,0.63158,0.53565,0.17411,2.32257,2.03721,2.5114,0.000614,0.000614,0.000614
142,881.272,1.01155,0.86739,1.32036,0.43072,0.518,0.3546,0.14568,2.13847,2.1979,2.41693,0.0006041,0.0006041,0.0006041
143,888.196,0.98579,0.86875,1.31536,0.42083,0.42068,0.36281,0.18917,2.0894,1.99786,2.46854,0.0005942,0.0005942,0.0005942
144,894.474,0.95579,0.82399,1.27013,0.5046,0.42105,0.43084,0.20552,2.14903,1.85848,2.40586,0.0005843,0.0005843,0.0005843
145,899.341,0.9494,0.82601,1.27077,0.47838,0.57895,0.48126,0.19894,2.19441,1.88204,2.46356,0.0005744,0.0005744,0.0005744
146,906.269,0.96754,0.80312,1.28739,0.47114,0.47368,0.3763,0.15792,2.41734,2.05933,2.73539,0.0005645,0.0005645,0.0005645
147,912.513,0.97928,0.81849,1.29118,0.55536,0.42105,0.4119,0.12602,2.37625,2.09125,2.65845,0.0005546,0.0005546,0.0005546
148,917.332,0.90169,0.78665,1.22939,0.47896,0.47368,0.42146,0.13753,2.31057,2.02698,2.54261,0.0005447,0.0005447,0.0005447
149,923.935,0.94423,0.82422,1.26923,0.41832,0.52632,0.42166,0.15857,2.28072,2.11871,2.50012,0.0005348,0.0005348,0.0005348
150,929.929,1.02051,0.90659,1.32485,0.48797,0.55236,0.41942,0.15266,2.2506,2.13863,2.45549,0.0005249,0.0005249,0.0005249
151,934.871,0.93806,0.82539,1.2664,0.55586,0.63158,0.50031,0.17531,2.17498,1.95825,2.4974,0.000515,0.000515,0.000515
152,941.117,0.92319,0.8104,1.27562,0.77476,0.36271,0.46985,0.1888,2.08257,1.94206,2.34394,0.0005051,0.0005051,0.0005051
153,947.611,0.98217,0.84433,1.28682,0.62579,0.36842,0.45132,0.1701,2.18032,2.06077,2.44682,0.0004952,0.0004952,0.0004952
154,952.4,0.91466,0.79552,1.25301,0.52439,0.40693,0.4481,0.17033,2.17247,2.25772,2.52191,0.0004853,0.0004853,0.0004853
155,958.77,0.91295,0.76965,1.23287,0.65413,0.42105,0.47359,0.16303,2.24643,2.00524,2.48199,0.0004754,0.0004754,0.0004754
156,965.725,0.95645,0.81601,1.26745,0.4766,0.38411,0.41488,0.15795,2.22689,2.089,2.39456,0.0004655,0.0004655,0.0004655
157,970.815,0.91369,0.78967,1.26079,0.39624,0.62202,0.38985,0.14777,2.20573,2.03263,2.41759,0.0004556,0.0004556,0.0004556
158,976.874,0.87921,0.731,1.22408,0.53096,0.36842,0.4251,0.15008,2.11628,2.02166,2.36542,0.0004457,0.0004457,0.0004457
159,983.935,0.86843,0.7372,1.23739,0.39869,0.55883,0.3949,0.14301,2.12537,1.90225,2.38804,0.0004358,0.0004358,0.0004358
160,988.791,0.87925,0.7448,1.21888,0.51279,0.52632,0.41799,0.16651,2.3215,1.86539,2.58385,0.0004259,0.0004259,0.0004259
161,995.286,0.90306,0.76459,1.24712,0.51106,0.47368,0.44003,0.14832,2.33172,1.97049,2.46347,0.000416,0.000416,0.000416
162,1002.48,0.9391,0.80133,1.29031,0.49436,0.51504,0.39383,0.13836,2.29114,2.38478,2.51863,0.0004061,0.0004061,0.0004061
163,1007.39,0.90816,0.82046,1.25822,0.44858,0.47368,0.40774,0.13449,2.32829,2.53561,2.54159,0.0003962,0.0003962,0.0003962
164,1014.37,0.84694,0.73039,1.20752,0.63887,0.46605,0.44361,0.18697,2.12574,2.44709,2.27779,0.0003863,0.0003863,0.0003863
165,1020.51,0.92377,0.76768,1.24437,0.53128,0.47368,0.45392,0.19929,2.1148,2.19974,2.28053,0.0003764,0.0003764,0.0003764
166,1025.59,0.82927,0.75479,1.2102,0.62824,0.47368,0.48456,0.17578,2.23437,2.20415,2.37306,0.0003665,0.0003665,0.0003665
167,1032.54,0.87817,0.71552,1.21583,0.49028,0.52632,0.44451,0.15374,2.19262,2.41424,2.3813,0.0003566,0.0003566,0.0003566
168,1038.71,0.84158,0.73098,1.21149,0.4273,0.42105,0.44202,0.15667,2.2568,2.28368,2.40789,0.0003467,0.0003467,0.0003467
169,1043.42,0.88339,0.76768,1.23065,0.3987,0.45424,0.44828,0.16486,2.24704,2.27665,2.44067,0.0003368,0.0003368,0.0003368
170,1050.59,0.82304,0.72173,1.1959,0.39477,0.47368,0.40988,0.16285,2.24188,2.27565,2.48848,0.0003269,0.0003269,0.0003269
171,1056.99,0.80178,0.71546,1.19183,0.53321,0.36123,0.3951,0.16186,2.35262,2.43517,2.62742,0.000317,0.000317,0.000317
172,1061.91,0.76479,0.67995,1.17106,0.42933,0.57895,0.45629,0.18135,2.27981,2.26865,2.45816,0.0003071,0.0003071,0.0003071
173,1069.07,0.85231,0.71313,1.21503,0.49688,0.52632,0.47245,0.17074,2.23952,2.13793,2.47978,0.0002972,0.0002972,0.0002972
174,1075.1,0.82631,0.69884,1.18931,0.52375,0.57895,0.45192,0.16451,2.07075,2.38829,2.38014,0.0002873,0.0002873,0.0002873
175,1080.09,0.82064,0.67829,1.19668,0.45125,0.43331,0.44923,0.1595,2.07083,2.43744,2.39678,0.0002774,0.0002774,0.0002774
176,1087.23,0.8708,0.79873,1.24437,0.59839,0.36842,0.43674,0.13632,2.09894,2.62412,2.40387,0.0002675,0.0002675,0.0002675
177,1093.16,0.80776,0.66049,1.16441,0.56679,0.36842,0.42851,0.1577,2.0919,2.52612,2.39604,0.0002576,0.0002576,0.0002576
178,1098.16,0.838,0.68433,1.21551,0.64745,0.31579,0.39827,0.16985,2.13609,2.36541,2.39504,0.0002477,0.0002477,0.0002477
179,1106.28,0.78356,0.69362,1.16564,0.51709,0.39541,0.39646,0.1467,2.0921,2.29381,2.33635,0.0002378,0.0002378,0.0002378
180,1111.71,0.85007,0.73729,1.21535,0.45085,0.47368,0.39156,0.15925,2.09124,2.28188,2.23581,0.0002279,0.0002279,0.0002279
181,1116.57,0.84155,0.69651,1.20339,0.49513,0.42105,0.40675,0.16337,2.12501,2.28608,2.18349,0.000218,0.000218,0.000218
182,1124.96,0.76652,0.65974,1.16075,0.44937,0.47368,0.41119,0.16503,2.12773,2.21824,2.22223,0.0002081,0.0002081,0.0002081
183,1129.94,0.78505,0.67841,1.1923,0.59177,0.42105,0.44145,0.15269,2.18116,2.21958,2.27355,0.0001982,0.0001982,0.0001982
